"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"BDKRB1",0,7.59379420557091,0.461,0.008,0
"FST",0,7.52754312564469,0.588,0.027,0
"FGF7",0,7.34618500991435,0.604,0.033,0
"IL13RA2",0,6.961312361512,0.297,0.019,0
"PTGDS",0,6.89800272313971,0.638,0.029,0
"CCL20",0,6.89210055774194,0.758,0.255,0
"MEDAG",0,6.84672496410406,0.516,0.022,0
"PDPN",0,6.75119612957573,0.824,0.043,0
"CLMP",0,6.65446309119666,0.892,0.064,0
"SBSN",0,6.49557083922831,0.28,0.008,0
"PTGS2",0,6.38610459364452,0.676,0.165,0
"CXCL14",0,6.38580171293448,0.562,0.027,0
"KCNK1",0,6.15983437951083,0.393,0.011,0
"GJB2",0,6.02867972365829,0.457,0.022,0
"SLC19A3",0,5.99336110974276,0.354,0.011,0
"MIR100HG",0,5.87246146363169,0.474,0.029,0
"BNC2",0,5.83122488983778,0.661,0.056,0
"CFD",0,5.75235521785654,0.601,0.046,0
"C2orf83",0,5.74335828356434,0.446,0.035,0
"FAP",0,5.64850467125414,0.595,0.031,0
"BDKRB2",0,5.64030413569833,0.289,0.009,0
"AC023202.1",0,5.63518361586693,0.296,0.016,0
"PTX3",0,5.44985277136686,0.384,0.031,0
"VTN",0,5.40292927428057,0.51,0.026,0
"CHRDL2",0,5.36651877745631,0.347,0.021,0
"SDK1",0,5.3581106914875,0.638,0.065,0
"DMKN",0,5.26635731395029,0.413,0.033,0
"AC003092.1",0,5.24088150601385,0.32,0.029,0
"IL11",0,5.19512405164254,0.412,0.069,0
"DLGAP1",0,5.1459916223879,0.569,0.092,0
"ADAMTS5",0,5.14051016498304,0.413,0.045,0
"MFAP4",0,5.13781209117603,0.536,0.042,0
"PRRX1",0,5.10479891880867,0.542,0.042,0
"OLR1",0,5.10298488181195,0.603,0.061,0
"MME-AS1",0,5.09781972224227,0.499,0.029,0
"CEMIP",0,5.07039641081077,0.46,0.12,0
"PTPRN",0,5.00892561520297,0.283,0.014,0
"PID1",0,4.98382875219677,0.657,0.089,0
"MME",0,4.92474591901312,0.936,0.204,0
"GJA1",0,4.90695247541663,0.891,0.143,0
"TMEM52B",0,4.85621192199596,0.597,0.051,0
"RDH10",0,4.79790444226807,0.515,0.07,0
"AC025580.2",0,4.78228893238779,0.483,0.082,0
"SERPINE2",0,4.77655921996655,0.938,0.457,0
"GDNF",0,4.71107664855581,0.271,0.015,0
"S100A16",0,4.70972447107344,0.548,0.049,0
"PDGFRA",0,4.63502651662348,0.758,0.086,0
"MMP1",0,4.62766979348132,0.55,0.241,0
"PTGS1",0,4.62326932985394,0.307,0.024,0
"EREG",0,4.61151705333014,0.408,0.114,0
"WDR86",0,4.6100630739383,0.273,0.017,0
"PLA2G4A",0,4.60396806101908,0.516,0.05,0
"INHBA",0,4.5920588842659,0.649,0.168,0
"FLRT2",0,4.56609731416476,0.317,0.015,0
"HMGA2",0,4.5429238504597,0.448,0.061,0
"LINC02484",0,4.52842343721257,0.39,0.056,0
"CHI3L1",0,4.52056126557559,0.397,0.077,0
"RDH10-AS1",0,4.44076833734606,0.336,0.031,0
"PDLIM4",0,4.43797870644709,0.474,0.048,0
"PDE7B",0,4.40682596667216,0.543,0.083,0
"CDCP1",0,4.40405306913842,0.579,0.08,0
"FAM43A",0,4.40212853180967,0.545,0.106,0
"MARCH3",0,4.37626810654381,0.525,0.073,0
"CRABP2",0,4.31315211005285,0.39,0.047,0
"VEGFC",0,4.31153802272513,0.579,0.058,0
"NRIP3",0,4.29617432202989,0.304,0.027,0
"AL138828.1",0,4.29211658466625,0.474,0.064,0
"MRC2",0,4.28103168512732,0.46,0.042,0
"TFPI2",0,4.20959218762705,0.974,0.659,0
"TNFSF15",0,4.20285661642487,0.626,0.15,0
"LOX",0,4.19556529933093,0.829,0.309,0
"BCL2A1",0,4.14349971397945,0.46,0.09,0
"PTGES",0,4.05520683831383,0.565,0.083,0
"NT5E",0,4.01367745217229,0.527,0.086,0
"ATP8B4",0,4.01081117447932,0.424,0.067,0
"PTPRT",0,4.00940779734281,0.386,0.076,0
"PCSK6",0,3.97861779903535,0.413,0.05,0
"BMP6",0,3.97819216406639,0.601,0.096,0
"SIRPA",0,3.97417627646464,0.493,0.057,0
"TMEM158",0,3.96677882558697,0.702,0.176,0
"PRDM1",0,3.95677020544613,0.314,0.039,0
"ABI3BP",0,3.94402185956916,0.667,0.181,0
"ELMO1",0,3.92452374052801,0.433,0.061,0
"TNFAIP6",0,3.88683749289029,0.684,0.137,0
"ADAMTS6",0,3.83583071449679,0.404,0.091,0
"GAS7",0,3.80771378057768,0.504,0.077,0
"IQGAP2",0,3.683395626135,0.454,0.081,0
"GEM",0,3.68045180318549,0.668,0.136,0
"ROR2",0,3.67181124283312,0.428,0.057,0
"SNTB1",0,3.61455563337718,0.373,0.061,0
"MT2A",0,3.6014019650728,0.997,0.972,0
"SVEP1",0,3.58739080510926,0.585,0.097,0
"C15orf48",0,3.57172391042017,0.546,0.165,0
"CXCL8",0,3.56483090178685,0.9,0.829,0
