"celltype_author","celltype_refined","refinement_action","n_cells"
"HBC","Hofbauer.cells","within_lineage_refine",39019
"Endo_f","Endothelial","within_lineage_refine",22140
"F","FIB2","within_lineage_refine",20531
"PV","PV","kept_author",9572
"VCT_fusing","STB","within_lineage_refine",8927
"VCT","vCTB","within_lineage_refine",7676
"PAMM1","Hofbauer.cells","within_lineage_refine",7645
"VCT_fusing","VCT_fusing","kept_author",3835
"VCT_p","vCTB","within_lineage_refine",3192
"F","FIB2","filled_missing_with_prediction",2785
"PV","FIB1","within_lineage_refine",2672
"VCT_fusing","STB","filled_missing_with_prediction",2383
"VCT_fusing","STB.progenitor","within_lineage_refine",2287
"PV","FIB1","filled_missing_with_prediction",2175
"VCT_CCC","vCTB","within_lineage_refine",1900
"PV","FIB2","filled_missing_with_prediction",1750
"EVT_2","EVT.progenitor","within_lineage_refine",1537
"F_p","FIB2","within_lineage_refine",1505
"VCT_CCC","VCT_CCC","kept_author",1461
"PAMM1","Hofbauer.cells","filled_missing_with_prediction",1397
"EVT_2","EVT_2","kept_author",1295
"VCT_fusing","STB.progenitor","filled_missing_with_prediction",1224
"iEVT","EVT.progenitor","within_lineage_refine",930
"HBC","Hofbauer.cells","filled_missing_with_prediction",897
"Endo_f","Endothelial","filled_missing_with_prediction",885
"F_sm","FIB2","within_lineage_refine",792
"F","F","kept_author",730
"VCT_fusing","vCTB","within_lineage_refine",618
"VCT_CCC","vCTB","filled_missing_with_prediction",611
"PAMM1","PAMM1","kept_author",602
"EVT_2","EVT.progenitor","filled_missing_with_prediction",514
"VCT_p","VCT_p","kept_author",490
"Endo_f","Endo_f","kept_author",473
"iEVT","iEVT","kept_author",472
"PV","FIB2","within_lineage_refine",435
"EVT_1","EVT_1","kept_author",332
"HBC_p","Hofbauer.cells","within_lineage_refine",296
"VCT_fusing","vCTB","filled_missing_with_prediction",292
"EVT_1","EVT.progenitor","within_lineage_refine",288
"iEVT","EVT.progenitor","filled_missing_with_prediction",273
"VCT_p","vCTB","filled_missing_with_prediction",255
"HBC","HBC","kept_author",240
"VCT","VCT","kept_author",233
"VCT","vCTB","filled_missing_with_prediction",161
"VCT_CCC","STB","filled_missing_with_prediction",156
"iEVT","EVT","filled_missing_with_prediction",123
"EVT_2","vCTB","filled_missing_with_prediction",108
"EVT_1","EVT.progenitor","filled_missing_with_prediction",95
"VCT_p","EVT.progenitor","filled_missing_with_prediction",87
"VCT_CCC","EVT.progenitor","filled_missing_with_prediction",73
"F_sm","FIB2","filled_missing_with_prediction",61
"iEVT","EVT","within_lineage_refine",60
"F_p","FIB2","filled_missing_with_prediction",58
"VCT_CCC","STB","within_lineage_refine",53
"VCT_CCC","EVT.progenitor","cross_lineage_override_very_high_confidence",48
"EVT_2","EVT","filled_missing_with_prediction",42
"VCT_p","STB","within_lineage_refine",29
"F_p","F_p","kept_author",24
"VCT","STB","filled_missing_with_prediction",24
"VCT_p","STB","filled_missing_with_prediction",23
"EVT_1","vCTB","filled_missing_with_prediction",18
"VCT_fusing","EVT.progenitor","filled_missing_with_prediction",15
"VCT","STB","within_lineage_refine",13
"VCT_p","STB.progenitor","filled_missing_with_prediction",13
"EVT_1","EVT","filled_missing_with_prediction",12
"VCT_p","EVT.progenitor","cross_lineage_override_very_high_confidence",11
"F_sm","F_sm","kept_author",10
"PV","Endothelial","filled_missing_with_prediction",10
"EVT_2","STB","filled_missing_with_prediction",9
"VCT","EVT.progenitor","filled_missing_with_prediction",8
"F","Endothelial","filled_missing_with_prediction",7
"EVT_1","vCTB","cross_lineage_override_very_high_confidence",5
"F","FIB1","filled_missing_with_prediction",4
"HBC_p","HBC_p","kept_author",4
"VCT","STB.progenitor","filled_missing_with_prediction",4
"EVT_2","STB","cross_lineage_override_very_high_confidence",3
"EVT_2","vCTB","cross_lineage_override_very_high_confidence",3
"Endo_f","Hofbauer.cells","cross_lineage_override_very_high_confidence",3
"VCT_CCC","EVT","filled_missing_with_prediction",3
"VCT_fusing","EVT.progenitor","cross_lineage_override_very_high_confidence",3
"VCT_p","STB.progenitor","within_lineage_refine",3
"EVT_2","EVT","within_lineage_refine",2
"EVT_2","Erythroblasts","filled_missing_with_prediction",2
"Endo_f","FIB2","filled_missing_with_prediction",2
"Endo_f","Hofbauer.cells","filled_missing_with_prediction",2
"iEVT","STB","filled_missing_with_prediction",2
"EVT_2","FIB2","filled_missing_with_prediction",1
"F","Erythroblasts","filled_missing_with_prediction",1
"F","STB.progenitor","filled_missing_with_prediction",1
"F_p","Endothelial","cross_lineage_override_very_high_confidence",1
"F_p","FIB1","within_lineage_refine",1
"HBC","Erythroblasts","filled_missing_with_prediction",1
"HBC_p","Hofbauer.cells","filled_missing_with_prediction",1
"PV","Hofbauer.cells","filled_missing_with_prediction",1
"VCT","EVT.progenitor","cross_lineage_override_very_high_confidence",1
"VCT_CCC","Endothelial","cross_lineage_override_very_high_confidence",1
"VCT_CCC","Erythroblasts","filled_missing_with_prediction",1
"VCT_CCC","FIB2","filled_missing_with_prediction",1
"VCT_CCC","Hofbauer.cells","cross_lineage_override_very_high_confidence",1
"VCT_CCC","STB.progenitor","filled_missing_with_prediction",1
"iEVT","STB","cross_lineage_override_very_high_confidence",1
"iEVT","vCTB","filled_missing_with_prediction",1
