"","Endo f","Endothelial","Erythroblasts","EVT","EVT-progenitor","EVT 1","EVT 2","F","F p","F sm","FIB1","FIB2","HBC","HBC p","Hofbauer cells","iEVT","PAMM1","PV","STB","STB-progenitor","VCT","VCT CCC","VCT fusing","VCT p","vCTB"
"Endo f",473,23025,0,0,0,0,0,0,0,0,0,2,0,0,5,0,0,0,0,0,0,0,0,0,0
"EVT 1",0,0,0,12,383,332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23
"EVT 2",0,0,2,44,2051,0,1295,0,0,0,0,1,0,0,0,0,0,0,12,0,0,0,0,0,111
"F",0,7,1,0,0,0,0,730,0,0,4,23316,0,0,0,0,0,0,0,1,0,0,0,0,0
"F p",0,1,0,0,0,0,0,0,24,0,1,1563,0,0,0,0,0,0,0,0,0,0,0,0,0
"F sm",0,0,0,0,0,0,0,0,0,10,0,853,0,0,0,0,0,0,0,0,0,0,0,0,0
"HBC",0,0,1,0,0,0,0,0,0,0,0,0,240,0,39916,0,0,0,0,0,0,0,0,0,0
"HBC p",0,0,0,0,0,0,0,0,0,0,0,0,0,4,297,0,0,0,0,0,0,0,0,0,0
"iEVT",0,0,0,183,1203,0,0,0,0,0,0,0,0,0,0,472,0,0,3,0,0,0,0,0,1
"PAMM1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,9042,0,602,0,0,0,0,0,0,0,0
"PV",0,10,0,0,0,0,0,0,0,0,4847,2185,0,0,1,0,0,9572,0,0,0,0,0,0,0
"VCT",0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,37,4,233,0,0,0,7837
"VCT CCC",0,1,1,3,121,0,0,0,0,0,0,1,0,0,1,0,0,0,209,1,0,1461,0,0,2511
"VCT fusing",0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,11310,3511,0,0,3835,0,910
"VCT p",0,0,0,0,98,0,0,0,0,0,0,0,0,0,0,0,0,0,52,16,0,0,0,490,3447
