"","Endo f","Endothelial","Erythroblasts","EVT","EVT-progenitor","EVT 1","EVT 2","F","F p","F sm","FIB1","FIB2","HBC","HBC p","Hofbauer cells","iEVT","PAMM1","PV","STB","STB-progenitor","VCT","VCT CCC","VCT fusing","VCT p","vCTB"
"Endo f",0.02,0.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EVT 1",0,0,0,0.016,0.511,0.443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.031
"EVT 2",0,0,0.001,0.013,0.583,0,0.368,0,0,0,0,0,0,0,0,0,0,0,0.003,0,0,0,0,0,0.032
"F",0,0,0,0,0,0,0,0.03,0,0,0,0.969,0,0,0,0,0,0,0,0,0,0,0,0,0
"F p",0,0.001,0,0,0,0,0,0,0.015,0,0.001,0.984,0,0,0,0,0,0,0,0,0,0,0,0,0
"F sm",0,0,0,0,0,0,0,0,0,0.012,0,0.988,0,0,0,0,0,0,0,0,0,0,0,0,0
"HBC",0,0,0,0,0,0,0,0,0,0,0,0,0.006,0,0.994,0,0,0,0,0,0,0,0,0,0
"HBC p",0,0,0,0,0,0,0,0,0,0,0,0,0,0.013,0.987,0,0,0,0,0,0,0,0,0,0
"iEVT",0,0,0,0.098,0.646,0,0,0,0,0,0,0,0,0,0,0.253,0,0,0.002,0,0,0,0,0,0.001
"PAMM1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.938,0,0.062,0,0,0,0,0,0,0,0
"PV",0,0.001,0,0,0,0,0,0,0,0,0.292,0.132,0,0,0,0,0,0.576,0,0,0,0,0,0,0
"VCT",0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005,0,0.029,0,0,0,0.965
"VCT CCC",0,0,0,0.001,0.028,0,0,0,0,0,0,0,0,0,0,0,0,0,0.048,0,0,0.339,0,0,0.583
"VCT fusing",0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0.578,0.179,0,0,0.196,0,0.046
"VCT p",0,0,0,0,0.024,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013,0.004,0,0,0,0.119,0.84
