"celltype_author","n_cells","n_refined","prop_refined","mean_ref_score","median_ref_score","n_cross_lineage_overrides"
"HBC",40157,39917,0.994023457927634,0.985521068021702,1,0
"F",24059,23329,0.969657924269504,0.934091239859176,0.974588670701202,0
"Endo f",23505,23032,0.97987662199532,0.969248540785456,1,0
"VCT fusing",19584,15749,0.804176879084967,0.845186005352291,0.897702109426418,0
"PV",16615,7043,0.423894071622028,0.690935390346292,0.667909768620112,0
"PAMM1",9644,9042,0.937577768560763,0.916028738462096,0.966471214840234,0
"VCT",8120,7887,0.971305418719212,0.976744193237246,1,0
"VCT CCC",4310,2849,0.661020881670534,0.793249680258939,0.830518933101265,0
"VCT p",4103,3613,0.880575188886181,0.920975605387873,1,0
"EVT 2",3516,2221,0.631683731513083,0.775266163092926,0.809517342046821,0
"iEVT",1862,1390,0.746509129967777,0.82853477709805,0.86957815808622,0
"F p",1589,1565,0.984896161107615,0.968919639039157,0.99549258871477,0
"F sm",863,853,0.988412514484357,0.953863277009489,0.983650360968396,0
"EVT 1",750,418,0.557333333333333,0.744973230340852,0.743799428860041,0
"HBC p",301,297,0.98671096345515,0.993261078357127,1,0
